Code,EntryID,SignFrequency(M),Iconicity(M),LexicalClass,SignType
B_03_026,call_tty,3.400,1.267,7,3
G_03_4,calm,5.148,4.400,2,5
E_03_21,camcorder,4.700,2.656,6,2
G_01_42,camel_2,2.600,4.241,6,2
B_03_073,camera,4.800,6.700,6,3
E_02_34,cameraman,2.281,4.097,6,1
A_01_045,camping,4.355,2.667,6,5
D_03_027,can,6.000,1.680,7,5
K_02_027,CAN_2,0,0,0,3
C_03_034,canada,3.600,1.056,4,2
C_02_017,cancellation,3.933,4.778,6,3
G_03_56,cancer_1,4.423,2.095,6,2
F_01_47,cancer_2,3.963,1.606,6,3
C_03_060,candle,3.733,3.639,6,3
A_01_018,candy_1,4.419,1.897,6,2
D_02_079,candy_2,4.654,1.233,6,2
G_02_37,cannon,2.577,3.625,6,2
E_02_94,cannot,5.813,3.483,7,1
D_01_045,canoe,2.222,5.806,6,5
F_01_4,cape,1.600,3.576,6,5
C_02_086,caption,5.200,2.630,6,5
H_03_48,capture,4.250,4.542,7,3
D_02_043,car,6.556,6.200,6,5
E_03_29,car_accident,3.933,3.933,7,5
E_01_39,car_battery,3.314,1.880,6,5
J_03_065,cards,4.103,6.455,0,1
B_03_039,careful,5.320,1.467,2,5
E_01_63,carousel,2.000,2.880,6,5
A_02_083,carrot,3.296,3.533,6,2
K_01_105,CARROT_2,0,0,0,2
K_03_075,CARROT_3,0,0,0,2
J_02_042,carry,0.000,4.792,0,5
K_02_026,CARVE,0,0,0,3
A_01_008,castle,1.579,3.481,6,5
K_01_017,CASTLE_2,0,0,0,5
K_02_019,CASTLE_3,0,0,0,5
K_03_110,CASTLE_4,0,0,0,5
H_02_50,casual,5.250,1.826,2,5
A_01_023,cat,5.097,4.618,6,2
K_02_047,CAT_2,0,0,0,5
K_03_087,CAT_3,0,0,0,5
E_03_83,catapult,1.500,6.097,7,2
G_02_33,catch,3.667,5.438,7,5
J_01_073,catch_2,2.778,5.680,7,2
K_03_109,CATCH_3,0,0,0,2
H_03_15,catch_3,4.500,5.708,0,2
K_02_058,CATCH_BASEBALL,0,0,0,3
E_01_34,category,6.314,1.346,6,5
G_01_25,catepillar,2.760,4.172,6,3
B_03_052,catholic,2.920,5.100,2,2
H_02_69,caught,4.037,5.391,7,3
D_01_088,cause,3.778,2.028,7,5
J_01_091,ceiling,2.759,5.000,0,5
J_02_100,celebrate,4.933,2.208,0,5
G_02_48,celery_2,2.704,4.438,6,2
K_01_128,CELLPHONE,0,0,0,2
H_01_37,cemetary,3.000,1.893,6,5
C_01_027,center,3.433,3.333,6,1
A_02_014,cereal,4.741,1.467,6,2
B_01_080,certificate,4.583,1.846,6,5
E_02_55,chain,3.375,4.414,6,5
A_01_017,chair,5.714,2.200,6,1
B_03_051,challenge,4.480,3.276,6,5
J_03_030,champ,5.448,1.500,0,3
G_01_81,champion,5.815,1.742,6,3
A_03_080,chance,4.208,1.381,6,5
E_01_31,change,6.371,3.231,7,5
C_03_023,channel,2.933,3.484,6,2
F_01_37,chaos,5.185,2.250,6,5
B_02_088,character,3.625,1.500,6,2
F_01_25,charge,5.296,3.469,7,3
E_02_56,charge_card_1,5.406,3.433,6,3
F_03_17,chase,4.815,3.333,7,1
C_01_079,chat,5.500,1.867,7,5
F_02_56,cheap,5.926,2.194,2,1
A_02_008,cheat_1,4.037,1.533,7,3
D_01_027,cheat_2,2.560,1.333,7,2
B_03_040,check,5.000,6.000,7,3
G_03_52,cheek,3.692,6.100,6,2
J_03_060,cheer,3.481,5.864,0,5
H_02_45,cheerleader,2.320,3.609,6,5
K_01_016,CHEERLEADER_2,0,0,0,5
A_02_021,cheese,5.630,1.700,6,1
F_03_64,cheese_grater,1.200,5.156,6,3
J_02_033,cherish,5.067,3.083,0,5
C_01_083,cherry,3.690,2.200,6,3
K_02_113,CHERRY_2,0,0,0,3
G_02_91,chew,3.000,3.563,7,2
J_02_027,chew_2(5),2.353,4.000,0,2
K_01_100,CHEW_2_mouth,0,0,0,2
K_02_041,CHEW_3,0,0,0,3
K_03_094,CHEW_4,0,0,0,5
D_01_043,chicago,3.259,1.118,4,2
F_03_101,child,4.815,3.938,6,2
C_02_066,children,5.467,2.037,6,5
E_02_64,chimney,2.696,3.633,6,1
E_01_20,chin_1,1.429,6.654,6,2
F_02_70,chin_2,5.080,6.806,6,2
D_03_061,china,3.038,1.083,4,2
F_03_41,chisel,2.333,4.000,6,3
B_01_002,chocolate,5.560,1.846,6,3
G_01_79,choke,3.731,5.800,7,2
F_02_99,chop,5.185,5.742,7,1
G_01_63,chopsticks,4.704,3.633,6,2
F_03_29,christmas_1,4.000,1.531,6,2
G_03_97,christmas_2,2.000,1.773,6,2
J_03_061,christmas_3(1-handed),3.690,1.182,0,2
C_02_018,church,3.267,1.769,6,3
E_01_46,churn,2.516,5.417,7,5
B_02_055,cigar,2.250,3.633,6,2
C_01_059,cigarette,3.367,1.586,6,3
E_02_62,circle,3.656,6.600,6,2
F_01_29,circus_1,1.125,1.424,6,2
H_02_65,circuswheel,2.778,3.583,6,5
B_01_029,city,4.500,3.148,6,5
K_02_076,CITY_2,0,0,0,5
G_01_96,clap,3.222,6.767,7,5
K_01_032,CLASH,0,0,0,5
B_03_068,class,4.720,1.167,6,5
F_03_13,clause,4.630,4.781,6,5
G_02_71,claw,2.192,4.094,6,3
E_03_82,clean,4.821,3.733,7,1
D_01_006,clear,4.269,3.667,2,5
E_01_54,cleftchin_1,2.696,5.400,6,2
E_01_45,cleftchin_2,2.250,5.360,6,2
G_01_47,click,4.926,5.032,7,2
J_01_031,client,4.533,0,0,5
F_01_103,climb_ladder,3.926,6.697,7,5
J_01_083,clip,4.517,4.000,0,3
D_02_076,clock,2.704,5.484,6,2
K_02_038,CLOCK_2,0,0,0,5
G_03_84,close,5.577,5.381,7,5
H_03_61,close_door,5.679,4.958,7,5
E_01_68,close_eyes,4.800,6.120,7,5
F_03_97,closet_1,3.240,2.000,6,3
E_01_91,closet_2,2.758,1.240,6,5
E_03_96,clothes,5.367,2.375,6,5
A_01_077,cloud_1,3.167,4.676,6,5
D_01_092,cloud_2,3.407,4.371,6,5
K_02_071,CLOUD_3,0,0,0,5
K_03_059,CLOUD_4,0,0,0,5
A_03_026,clown,2.680,4.952,6,2
F_03_82,clueless,5.111,3.938,2,2
H_02_83,coach,1.333,1.583,6,2
D_02_040,cocacola,2.846,1.000,4,2
F_03_44,cocaine,3.000,5.094,6,2
A_02_088,coconut,3.593,4.067,6,5
A_01_032,coffee,6.387,2.286,6,1
D_01_018,coins,1.632,1.914,6,3
C_02_068,cold,5.900,4.778,2,5
B_01_009,college,5.783,1.926,6,1
C_02_039,color,5.533,1.115,6,2
C_02_070,comb,3.000,6.185,7,2
K_03_065,COMB_2,0,0,0,2
C_03_074,come,4.833,6.250,7,2
H_02_74,come_here_E,4.286,6.750,0,2
E_02_20,come_out,4.469,4.655,7,3
H_03_58,comfortable,4.926,2.458,2,5
H_01_5,comment,4.607,2.111,7,5
J_03_072,committee,4.414,1.318,0,2
B_03_013,communication,5.760,4.400,6,5
J_01_015,community,5.100,1.600,0,5
H_02_44,commute,4.407,1.917,7,3
G_02_12,compass,2.593,2.844,6,3
G_01_23,complain,5.519,2.034,7,2
C_01_061,complex,4.500,1.833,2,5
A_01_054,computer,3.700,1.342,6,5
C_01_073,computer_mouse,3.900,4.700,6,2
A_03_086,concept,3.273,3.333,6,2
G_02_47,concerned,5.259,2.813,7,5
K_01_060,CONDUCT_1,0,0,0,5
K_02_091,CONDUCT_2,0,0,0,2
K_03_057,CONDUCT_3,0,0,0,2
E_02_5,cone,1.500,2.552,6,1
D_02_035,confident,4.963,1.667,2,5
G_02_22,confidential,5.444,3.484,2,2
J_02_084,conflict,4.867,3.958,0,5
