,Code,EntryID,SignFrequency(M),Iconicity(M),Neighborhood Density 2.0,SignType,LexicalClass
445,K_01_032,clash,5.778,4.24,8,5,7
446,B_03_068,class,4.72,1.167,2,5,5
447,F_03_013,clause,4.63,4.7810000000000015,0,5,5
448,G_02_071,claw,2.192,4.0939999999999985,0,1,5
449,E_03_082,clean,4.8210000000000015,3.733,11,0,7
450,D_01_006,clear,4.269,3.667,7,5,1
451,E_01_054,cleftchin,2.696,5.36,15,4,5
452,G_01_047,click,4.926,5.032,0,4,7
453,J_01_031,client,4.533,0.0,6,5,5
454,F_01_103,climb_ladder,3.926,6.697,6,5,7
455,J_01_083,clip,4.517,3.875,0,1,7
456,D_02_076,clock,2.704,5.484,10,4,5
457,K_02_038,clock_2,3.667,1.7080000000000002,0,5,5
458,G_03_084,close ,5.577000000000001,0.0,6,5,7
459,H_03_061,close_door,5.6789999999999985,4.958,6,5,7
460,E_01_068,close_eyes,4.8,6.12,1,5,7
461,F_03_097,closet_1,3.24,2.0,1,1,5
462,E_01_091,closet_2,2.758,1.24,0,5,5
463,E_03_096,clothes,5.367000000000001,2.375,3,5,5
464,A_01_077,cloud_1,3.167,4.676,0,5,5
465,D_01_092,cloud_2,3.407,4.371,10,5,5
466,K_02_071,cloud_3,3.478,3.917,8,5,5
467,K_03_059,cloud_4,5.542000000000002,3.76,10,5,5
468,A_03_026,clown,2.68,4.952,4,4,5
469,F_03_082,clueless,5.1110000000000015,3.938,11,4,1
470,H_02_083,coach,1.3330000000000002,1.5830000000000002,0,4,5
471,D_02_040,cocacola,2.846,1.0,0,4,6
472,F_03_044,cocaine,3.0,5.0939999999999985,1,4,5
473,A_02_088,coconut,3.593,4.067,5,5,5
474,A_01_032,coffee,6.3870000000000005,2.286,1,0,5
475,D_01_018,coins,1.632,1.914,5,1,5
476,C_02_068,cold,5.9,4.7780000000000005,2,5,1
477,B_01_009,college,5.783,1.629,21,0,5
478,C_02_039,color,5.533,1.115,3,4,5
479,C_02_070,comb,3.0,6.185,4,4,7
480,K_03_065,comb_2,5.24,6.192,10,4,5
481,C_03_074,come,4.833,6.25,4,4,7
482,H_02_074,come_here,4.2860000000000005,6.75,3,4,7
483,E_02_020,come_out,4.4689999999999985,4.655,4,1,7
484,H_03_058,comfortable,4.926,2.458,0,5,1
485,H_01_005,comment,4.607,2.2,6,5,7
486,J_03_072,committee,4.414,1.435,4,4,5
487,B_03_013,communication,5.76,4.4,3,5,5
488,J_01_015,community,5.1,1.4580000000000002,4,5,5
489,H_02_044,commute,4.407,1.917,7,1,7
490,G_02_012,compass,2.593,2.844,14,1,5
491,G_01_023,complain,5.519,2.0340000000000003,3,4,7
492,C_01_061,complex,4.5,1.833,1,5,1
493,A_01_054,computer,3.7,1.342,6,5,5
494,C_01_073,computer_mouse,3.9,4.7,2,4,5
495,A_03_086,concept,3.273,3.333,6,4,5
496,G_02_047,concerned,5.259,2.813,5,5,7
497,K_01_060,conduct_1,3.273,6.4,7,5,7
498,K_02_091,conduct_2,2.9,5.832999999999998,6,4,7
499,K_03_057,conduct_3,2.526,6.12,3,4,7
500,D_02_035,confident,4.963,1.6669999999999998,9,5,1
501,G_02_022,confidential,5.444,3.484,9,4,1
502,J_02_084,conflict,4.867,3.96,16,5,7
503,J_01_110,confused_1,5.1,4.25,4,4,1
504,J_02_067,confused_2,4.633,3.16,46,4,1
505,B_02_022,congratulations,4.8,5.5,9,5,3
